No.,APELLIDO,USUARIO,NOMBRE,EQUIPO,MAIL,DEPARTAMENTO,,DESCRIPCION,PRDESARROLLO,CARPETA PRIVADA,CONEXIONES,PASSWORD,CAMBIAR INICIO SESION,ARCHIVO INICIO SESIÓN,ACCESO,,,OU,,,
1,AROCAS PASADAS,ESTEFANIA,ARPESTEFANIA,conta1,conta1@thefinaldomain.com,CONTABILIDAD,,Responsable,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta1,conta2,conta3,conta4,conta5,conta6,conta7,conta8,conta9,conta10,conta11,conta12,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARPESTEFANIA Goto CONTABILIDAD,PC1,PC1
2,VISO GILABERT,QUERALT,VIGQUERALT,conta2,conta2@thefinaldomain.com,CONTABILIDAD,User_,User_conta2,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta2,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==VIGQUERALT Goto CONTABILIDAD,PC1,
3,AYALA FERRERAS,JOAN,AYFJOAN,conta3,conta3@thefinaldomain.com,CONTABILIDAD,User_,User_conta3,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta3,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AYFJOAN Goto CONTABILIDAD,PC1,
4,BAEZ TEJADO,JOAN,BATJOAN,conta4,conta4@thefinaldomain.com,CONTABILIDAD,User_,User_conta4,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta4,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BATJOAN Goto CONTABILIDAD,PC1,
5,BASTARDES SOTO,MARC,BASMARC,conta5,conta5@thefinaldomain.com,CONTABILIDAD,User_,User_conta5,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta5,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BASMARC Goto CONTABILIDAD,PC1,
6,ANGUERA VILAFRANCA,JOSEP,ANVJOSEP,conta6,conta6@thefinaldomain.com,CONTABILIDAD,User_,User_conta6,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta6,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ANVJOSEP Goto CONTABILIDAD,PC1,
7,PASCUAL ALOY,ESTHER,PAAESTHER,conta7,conta7@thefinaldomain.com,CONTABILIDAD,User_,User_conta7,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta7,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==PAAESTHER Goto CONTABILIDAD,PC1,
8,VALLES GIRVENT,LAURA,VAGLAURA,conta8,conta8@thefinaldomain.com,CONTABILIDAD,User_,User_conta8,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta8,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==VAGLAURA Goto CONTABILIDAD,PC1,
9,RAYA GARCIA,RAQUEL,RAGRAQUEL,conta9,conta9@thefinaldomain.com,CONTABILIDAD,User_,User_conta9,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta9,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==RAGRAQUEL Goto CONTABILIDAD,PC1,
10,ANDREU CRUZ,ch,ANCJOAN,conta10,conta10@thefinaldomain.com,CONTABILIDAD,User_,User_conta10,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta10,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ANCJOAN Goto CONTABILIDAD,PC1,
11,BARALDES COMAS,MARIA ISABEL,BACMARIA ISABEL,conta11,conta11@thefinaldomain.com,CONTABILIDAD,User_,User_conta11,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta11,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BACMARIA ISABEL Goto CONTABILIDAD,PC1,
12,BERENGUERAS CULLERES,ADRIA,BECADRIA,conta12,conta12@thefinaldomain.com,CONTABILIDAD,User_,User_conta12,,si,"GENERAL, PRIVADA, CONTABILIDAD",Itep@1234,si,si,"conta12,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CONTABILIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BECADRIA Goto CONTABILIDAD,PC1,
13,LOPEZ DE PABLO,GERARD,LODGERARD,logistica1,logistica1@thefinaldomain.com,LOGISTICA,User_,Responsable,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica1,logistica2,logistica3,logistica4,logistica5,logistica6,logistica7,logistica8,logistica9,logistica10,logistica11,logistica12,logistica13,logistica14,logistica15,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==LODGERARD Goto LOGISTICA,PC1,
14,ARNAU MORENO,ELIOT,ARMELIOT,logistica2,logistica2@thefinaldomain.com,LOGISTICA,User_,User_logistica2,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica2,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARMELIOT Goto LOGISTICA,PC1,
15,RAYA GAVILAN,JORDI,RAGJORDI,logistica3,logistica3@thefinaldomain.com,LOGISTICA,User_,User_logistica3,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica3,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==RAGJORDI Goto LOGISTICA,PC1,
16,ZAMBUDIO FIGULS,LLUIS,ZAFLLUIS,logistica4,logistica4@thefinaldomain.com,LOGISTICA,User_,User_logistica4,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica4,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ZAFLLUIS Goto LOGISTICA,PC1,
17,BIDAULT CULLERES,LAURA,BICLAURA,logistica5,logistica5@thefinaldomain.com,LOGISTICA,User_,User_logistica5,,si,"GENERAL, PRIVADA, LOGISTICA",Itep@1234,si,si,"logistica5,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=LOGISTICA,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BICLAURA Goto LOGISTICA,PC1,
